Director,Nombre,Nota media,Total de películas,Productora habitual,Beneficio total,Mejor filme,Nota
![](https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/George_Tillman_Jr_2013.jpg/220px-George_Tillman_Jr_2013.jpg),George Tillman Jr.,6.98,5,Fox 2000 Pictures,127269444,The Hate U Give,7.5
![](NA),Dwight H. Little,5.56,5,Screen Gems,125612409,Murder at 1600,6.1
![](https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/David_Goyer.jpg/220px-David_Goyer.jpg),David S. Goyer,5.6,3,Hollywood Pictures,124302067,The Invisible,6.2
![](NA),Howard Deutch,6.457142857142857,7,Bel Air Entertainment,123857030,Some Kind of Wonderful,7.1
![](https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Charles_Shyer%2C_2011.jpg/220px-Charles_Shyer%2C_2011.jpg),Charles Shyer,6.08,5,Annhall,123499439,Father of the Bride,6.5
![](https://upload.wikimedia.org/wikipedia/commons/9/9a/Jim_Sheridan.jpg),Jim Sheridan,7.0285714285714285,7,Hell's Kitchen Films,123480681,In the Name of the Father,8.1
![](NA),Russell Mulcahy,5.96,5,Davis-Panzer Productions,122994483,Highlander,7.1
![](NA),Oliver Parker,6.633333333333333,3,Arts Council of England,122631185,An Ideal Husband,6.8
![](NA),Jonathan Lynn,6.628571428571428,7,Imagine Entertainment,122059133,My Cousin Vinny,7.6
![](NA),Jessie Nelson,6.666666666666666,3,New Line Cinema,121409222,I Am Sam,7.6
![](https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Andrzej_Bartkowiak.jpg/220px-Andrzej_Bartkowiak.jpg),Andrzej Bartkowiak,5.28,5,Warner Bros.,120321237,Romeo Must Die,6.1
![](NA),Rupert Wainwright,5.066666666666666,3,Metro-Goldwyn-Mayer (MGM),119225669,Stigmata,6.2
![](NA),Johannes Roberts,5.3,3,Aviron Pictures,118520150,47 Meters Down,5.7
![](NA),Tom Dey,5.8999999999999995,3,Material,117384297,Shanghai Noon,6.6
![](NA),Stuart Baird,6.466666666666667,3,Warner Bros.,116673091,U.S. Marshals,6.6
![](https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Justin_Kurzel_Cannes_2015.jpg/220px-Justin_Kurzel_Cannes_2015.jpg),Justin Kurzel,6.3,3,Carver Films,116369310,The Snowtown Murders,6.6
![](https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Victor_Salva.jpg/200px-Victor_Salva.jpg),Victor Salva,5.92,5,United Artists,115180904,Peaceful Warrior,7.3
![](NA),Nigel Cole,6.8,3,Touchstone Pictures,115028808,Saving Grace,6.9
![](https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Kathryn_Bigelow_by_David_Shankbone.jpg/220px-Kathryn_Bigelow_by_David_Shankbone.jpg),Kathryn Bigelow,7.0125,8,Annapurna Pictures,114230261,The Hurt Locker,7.5
![](https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Zombiemayhem.jpg/220px-Zombiemayhem.jpg),Rob Zombie,5.683333333333334,6,Dimension Films,113009227,The Devil's Rejects,6.8
![](NA),Tom McCarthy,7.6,4,Fox Searchlight Pictures,112878722,Spotlight,8.1
![](NA),Peter Howitt,6.225,4,Deep River Productions,112535028,Sliding Doors,6.7
![](https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Mark_Neveldine_2011.jpg/220px-Mark_Neveldine_2011.jpg),Mark Neveldine,5.8,4,Lionsgate,111896052,Crank,6.9
![](NA),Harold Becker,6.22,5,Castle Rock Entertainment,110981636,Sea of Love,6.8
![](NA),David Bowers,6.425,4,Fox 2000 Pictures,110925231,Flushed Away,6.6
![](NA),Andrew Bergman,5.8,4,Castle Rock Entertainment,110918955,The Freshman,6.5
![](NA),James Watkins,6.5,3,CBS Films,110798375,Eden Lake,6.8
![](https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Simon_Wincer_on_AccessReel.jpg/220px-Simon_Wincer_on_AccessReel.jpg),Simon Wincer,5.76,5,Bungalow Productions,110158456,Quigley Down Under,6.9
![](https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/A_portrait_of_Norman_Jewison_taken_by_Gail_Harvey._%2848198901241%29_%28cropped%29.jpg/220px-A_portrait_of_Norman_Jewison_taken_by_Gail_Harvey._%2848198901241%29_%28cropped%29.jpg),Norman Jewison,7.066666666666666,3,Azoff Entertainment,109657668,The Hurricane,7.6
![](NA),Simon Curtis,7.225,4,DJ Films,108846205,The Art of Racing in the Rain,7.6
![](https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Sylvain_White_at_WonderCon_2010_2.JPG/220px-Sylvain_White_at_WonderCon_2010_2.JPG),Sylvain White,4.966666666666667,3,Rainforest Films,108647326,The Losers,6.3
![](NA),Frederik Du Chau,5.433333333333334,3,Alcon Entertainment,108535750,Quest for Camelot,6.3
![](https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Danny_DeVito_cropped_and_edited_for_brightness.jpg/220px-Danny_DeVito_cropped_and_edited_for_brightness.jpg),Danny DeVito,6.466666666666667,6,Twentieth Century Fox,107571128,Matilda,6.9
![](https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Burr_Steers_%28cropped%29.jpg/220px-Burr_Steers_%28cropped%29.jpg),Burr Steers,6.375,4,Cross Creek Pictures,106884276,Igby Goes Down,6.9
![](https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Kevin_Smith_by_Gage_Skidmore_3.jpg/220px-Kevin_Smith_by_Gage_Skidmore_3.jpg),Kevin Smith,6.654545454545454,11,View Askew Productions,105866428,Clerks,7.7
![](NA),Niels Arden Oplev,6.5,3,Columbia Pictures,105646993,The Girl with the Dragon Tattoo,7.8
![](https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Nimrod_Antal_by_Gage_Skidmore.jpg/220px-Nimrod_Antal_by_Gage_Skidmore.jpg),Nimród Antal,6.733333333333333,3,Café Film,104953843,Control,7.6
![](https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Jared_Hess_%28cropped%29.jpg/220px-Jared_Hess_%28cropped%29.jpg),Jared Hess,6.175,4,Broadway Video,104787538,Napoleon Dynamite,6.9
![](NA),Michael Caton-Jones,6.3,7,Enigma Productions,104611090,This Boy's Life,7.3
![](https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Yorgos_Lanthimos_2023_%28cropped%29.jpg/220px-Yorgos_Lanthimos_2023_%28cropped%29.jpg),Yorgos Lanthimos,7.225,4,Boo Productions,104131714,The Favourite,7.5
![](NA),Sam Weisman,5.64,5,Avnet/Kerner Productions,103851423,D2: The Mighty Ducks,6.1
![](NA),James McTeigue,6.933333333333334,3,Warner Bros.,103811660,V for Vendetta,8.1
![](NA),Ron Shelton,6.283333333333333,6,Alphaville Films,101468895,Bull Durham,7.1
![](NA),Jay Chandrasekhar,6.06,5,Warner Bros.,101231528,Super Troopers,7.1
![](NA),David Lowery,6.675000000000001,4,Sailor Bear,99438661,A Ghost Story,6.9
![](https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Bennett_Altman_Miller.jpg/220px-Bennett_Altman_Miller.jpg),Bennett Miller,7.3,3,Annapurna Pictures,97740134,Moneyball,7.6
![](https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Brian_Robbins.png/220px-Brian_Robbins.png),Brian Robbins,5.5875,8,Paramount Pictures,97658584,Varsity Blues,6.5
![](https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Terrence_Malick%2C_1993.jpg/220px-Terrence_Malick%2C_1993.jpg),Terrence Malick,6.4,6,Brothers K Productions,97511494,The Thin Red Line,7.6
![](https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Gurinder_Chadha.jpg/220px-Gurinder_Chadha.jpg),Gurinder Chadha,6.566666666666666,3,Kintop Pictures,97398959,Blinded by the Light,6.9
![](https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Tomas_Alfredson_2011.png/220px-Tomas_Alfredson_2011.png),Tomas Alfredson,6.7,3,EFTI,96911723,Let the Right One In,7.9
![](https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/David_Cronenberg_2012-03-08.jpg/220px-David_Cronenberg_2012-03-08.jpg),David Cronenberg,6.781818181818182,11,Recorded Picture Company (RPC),96697810,The Fly,7.6
![](NA),Michael Tiddes,4.4,3,Baby Way Productions,96245814,A Haunted House,5
![](https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Fran%C3%A7ois_Ozon_avp_2012.jpg/220px-Fran%C3%A7ois_Ozon_avp_2012.jpg),François Ozon,6.82,5,Mandarin Films,95828691,In the House,7.4
![](https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Tom_Tykwer_%28Berlin_Film_Festival_2009%29.jpg/220px-Tom_Tykwer_%28Berlin_Film_Festival_2009%29.jpg),Tom Tykwer,7.033333333333333,6,X-Filme Creative Pool,93460816,Run Lola Run,7.7
![](https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Zach_Braff_2011_Shankbone.JPG/220px-Zach_Braff_2011_Shankbone.JPG),Zach Braff,6.9,3,Camelot Pictures,92914633,Garden State,7.4
![](NA),Angela Robinson,5.733333333333333,3,Screen Gems,92643877,Professor Marston & the Wonder Women,7.1
![](NA),John Carney,7.7,3,Bórd Scannán na hÉireann,92064152,Sing Street,7.9
![](https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/10.5.17ReginaldHudlinByLuigiNovi1.jpg/220px-10.5.17ReginaldHudlinByLuigiNovi1.jpg),Reginald Hudlin,5.96,5,Broadway Pictures,91944249,Marshall,7.3
![](https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Paul_Thomas_Anderson_2022_%281%29_%28cropped%29.jpg/220px-Paul_Thomas_Anderson_2022_%281%29_%28cropped%29.jpg),Paul Thomas Anderson,7.5,8,Ghoulardi Film Company,91359683,There Will Be Blood,8.2
![](https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Karan_Johar_walks_the_ramp_for_Shane_and_Falguni_Peacock.jpg/220px-Karan_Johar_walks_the_ramp_for_Shane_and_Falguni_Peacock.jpg),Karan Johar,6.9799999999999995,5,Dharma Productions,91077995,My Name Is Khan,8
![](https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Gil_Kenan%2C_34th_Annie_Awards%2C_2007.jpg/220px-Gil_Kenan%2C_34th_Annie_Awards%2C_2007.jpg),Gil Kenan,6,3,Columbia Pictures,90228921,Monster House,6.6
![](https://upload.wikimedia.org/wikipedia/commons/e/ee/JDayton.jpg),Jonathan Dayton,7.233333333333333,3,Fox Searchlight Pictures,88026364,Little Miss Sunshine,7.8
![](https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Fernando_Meirelles_2012_%28cropped%29.JPG/220px-Fernando_Meirelles_2012_%28cropped%29.JPG),Fernando Meirelles,7.2,4,BBC Films,87390844,City of God,8.6
![](NA),Scott Stewart,5.766666666666667,3,Screen Gems,84586266,Dark Skies,6.3
![](https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Philip_Kaufman_03.jpg/220px-Philip_Kaufman_03.jpg),Philip Kaufman,6.5,5,Fox Searchlight Pictures,84121875,The Unbearable Lightness of Being,7.3
![](https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/David_Wain_in_2019.jpg/220px-David_Wain_in_2019.jpg),David Wain,6.333333333333333,3,A Hot Dog,83757441,Role Models,6.8
![](https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Walter_Salles_at_TIFF_2012.jpg/220px-Walter_Salles_at_TIFF_2012.jpg),Walter Salles,6.875,4,"Audiovisual Development Bureau, Ministerio da Cultura",83709240,Central Station,8
![](NA),Miguel Arteta,6.333333333333334,3,Dimension Films,83166206,The Good Girl,6.4
![](https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Lewis_Teague_with_Charlotta.JPG/220px-Lewis_Teague_with_Charlotta.JPG),Lewis Teague,6,3,Dino De Laurentiis Company,82928599,Cat's Eye,6.3
![](NA),Breck Eisner,6.166666666666667,3,Overture Films,80984084,The Crazies,6.5
![](https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Trey_Parker_by_Gage_Skidmore_2.jpg/220px-Trey_Parker_by_Gage_Skidmore_2.jpg),Trey Parker,7,3,Kuzui Enterprises,80566803,"South Park: Bigger, Longer & Uncut",7.7
![](https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/David_S_Ward.jpg/220px-David_S_Ward.jpg),David S. Ward,6.075,4,Mirage Enterprises,80464127,Major League,7.2
![](https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/20130925%E2%80%94Park_Chan-wook_%EB%B0%95%EC%B0%AC%EC%9A%B1_Marie_Claire_Korea_photo_shoot_screenshot_%2800m01s%29_%28cropped%29.jpg/220px-20130925%E2%80%94Park_Chan-wook_%EB%B0%95%EC%B0%AC%EC%9A%B1_Marie_Claire_Korea_photo_shoot_screenshot_%2800m01s%29_%28cropped%29.jpg),Park Chan-Wook,7.6,6,CJ Entertainment,79999814,Oldboy,8.4
![](https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Sanjay_Leela_Bhansali.jpg/220px-Sanjay_Leela_Bhansali.jpg),Sanjay Leela Bhansali,7.5249999999999995,4,Bhansali Productions,78553868,Black,8.2
![](NA),Scott Cooper,7.025,4,Appian Way,77511815,Crazy Heart,7.2
![](NA),Peter Hedges,6.766666666666667,3,Monsterfoot Productions,77469268,Pieces of April,7
![](https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Anton_Corbijn_%28Berlinale_2012%29.jpg/220px-Anton_Corbijn_%28Berlinale_2012%29.jpg),Anton Corbijn,6.933333333333334,3,Becker Films,77269306,Control,7.7
![](NA),Robert Iscove,4.466666666666667,3,19 Entertainment,76946487,She's All That,5.9
![](https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Jean-Marc_Vall%C3%A9e%2C_Genie_Awards_2012.jpg/220px-Jean-Marc_Vall%C3%A9e%2C_Genie_Awards_2012.jpg),Jean-Marc Vallée,7.35,4,Black Label Media,76800998,Dallas Buyers Club,8
![](https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/LoneScherfig09TIFF.jpg/220px-LoneScherfig09TIFF.jpg),Lone Scherfig,7.033333333333333,3,BBC Films,75583547,An Education,7.3
![](NA),Tamra Davis,5.566666666666666,3,Fuzzy Bunny Films (I),75089784,Half Baked,6.7
![](https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Roman_Polanski_2011_2.jpg/220px-Roman_Polanski_2011_2.jpg),Roman Polanski,7.3,7,R.P. Productions,74311448,The Pianist,8.5
![](NA),Howard Zieff,6.233333333333333,3,Columbia Pictures,73739838,My Girl,6.9
![](https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/David_Twohy_by_Gage_Skidmore.jpg/220px-David_Twohy_by_Gage_Skidmore.jpg),David Twohy,6.58,5,Dimension Films,73003047,Pitch Black,7.1
![](NA),Kar-Wai Wong,7.3875,8,Block 2 Pictures,72665795,Chungking Express,8.1
![](https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Brad_Furman_2021.jpg/220px-Brad_Furman_2021.jpg),Brad Furman,6.633333333333333,3,George Films,72438557,The Lincoln Lawyer,7.3
![](https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/FrankMiller_JimLee_DC%27s_2018PopUpShop2.jpg/220px-FrankMiller_JimLee_DC%27s_2018PopUpShop2.jpg),Frank Miller,6.433333333333334,3,Aldamisa Entertainment,72305877,Sin City,8
![](NA),Gary Fleder,6.685714285714286,7,New Regency Productions,72183731,The Express,7.3
![](https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Hirokazu_Kore-eda_Cannes_2015.jpg/220px-Hirokazu_Kore-eda_Cannes_2015.jpg),Hirokazu Koreeda,7.866666666666666,3,AOI Promotion,71089413,Nobody Knows,8.1
![](https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Mike_Figgis_-_Deloitte_Ignite_2011_%282%29.jpg/220px-Mike_Figgis_-_Deloitte_Ignite_2011_%282%29.jpg),Mike Figgis,6.333333333333333,3,Lumiere Pictures,70283753,Leaving Las Vegas,7.5
![](NA),Patrick Lussier,5.233333333333333,3,Dimension Films,69698252,My Bloody Valentine,5.4
![](NA),Ben Younger,6.666666666666667,3,New Line Cinema,68416428,Boiler Room,7
![](NA),Charles Stone III,6.266666666666667,3,Dimension Films,68369425,Paid in Full,7.1
![](https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/James_Ivory_%281991.09%29.jpg/220px-James_Ivory_%281991.09%29.jpg),James Ivory,7.0200000000000005,5,Merchant Ivory Productions,68255663,The Remains of the Day,7.8
![](https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Shekhar_kapur_02.jpg/220px-Shekhar_kapur_02.jpg),Shekhar Kapur,6.9,3,Paramount Pictures,67816045,Elizabeth,7.4
![](https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Nicolas_Winding_Refn_Cannes_2013.jpg/220px-Nicolas_Winding_Refn_Cannes_2013.jpg),Nicolas Winding Refn,6.716666666666667,6,Space Rocket Nation,66719381,Drive,7.8
![](https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Denzel_Washington_2018.jpg/220px-Denzel_Washington_2018.jpg),Denzel Washington,7.333333333333333,3,BRON Studios,66553903,The Great Debaters,7.5
![](https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Jodie_Foster_C%C3%A9sars_2011_2_%28cropped%29.jpg/220px-Jodie_Foster_C%C3%A9sars_2011_2_%28cropped%29.jpg),Jodie Foster,6.574999999999999,4,Orion Pictures,65107469,Little Man Tate,6.6
![](https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Jim_Jarmusch_Cannes_2013.JPG/220px-Jim_Jarmusch_Cannes_2013.JPG),Jim Jarmusch,7.26,10,Focus Features,64873592,Down by Law,7.7
![](https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Guillaume_Canet.jpg/220px-Guillaume_Canet.jpg),Guillaume Canet,7.033333333333333,3,Trésor Films,63814849,Tell No One,7.5
![](https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Adam_Wingard_by_Gage_Skidmore.jpg/220px-Adam_Wingard_by_Gage_Skidmore.jpg),Adam Wingard,6.1,3,HanWay Films,63768686,The Guest,6.7
![](https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/NikiCaro_%28cropped%29.jpg/220px-NikiCaro_%28cropped%29.jpg),Niki Caro,7.3,4,Mayhem Pictures,62637045,Whale Rider,7.5
![](https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Henry_Selick_2009_%28cropped%29.jpg/220px-Henry_Selick_2009_%28cropped%29.jpg),Henry Selick,6.8,4,Focus Features,61656576,The Nightmare Before Christmas,8
![](https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Luca_Guadagnino_at_Berlinale_2017_%28cropped_2%29.jpg/220px-Luca_Guadagnino_at_Berlinale_2017_%28cropped_2%29.jpg),Luca Guadagnino,7.1000000000000005,3,Frenesy Film Company,61449081,Call Me by Your Name,7.9
![](https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Paolo_Sorrentino_2018.jpg/220px-Paolo_Sorrentino_2018.jpg),Paolo Sorrentino,7.266666666666667,3,Indigo Film,60053290,The Great Beauty,7.8
![](NA),John Schultz,5.5,3,Twentieth Century Fox,59249245,Drive Me Crazy,5.8
![](NA),John Wells,6.833333333333333,3,The Weinstein Company,58882680,August: Osage County,7.2
![](https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Robert_Altman_-_1983.jpg/220px-Robert_Altman_-_1983.jpg),Robert Altman,6.4,7,Artisan Entertainment,58513743,Short Cuts,7.7
![](https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Geoff_Murphy_%28cropped%29.jpg/220px-Geoff_Murphy_%28cropped%29.jpg),Geoff Murphy,6.05,4,Morgan Creek Entertainment,56719654,The Quiet Earth,6.8
![](NA),Craig Brewer,6.7,3,Crunk Pictures,56214540,Hustle & Flow,7.3
![](https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Giuseppe_Tornatore.jpg/220px-Giuseppe_Tornatore.jpg),Giuseppe Tornatore,7.92,5,Cecchi Gori Group Tiger Cinematografica,55680007,Cinema Paradiso,8.5
![](https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Ken_Loach_Cannes_2014.jpg/220px-Ken_Loach_Cannes_2014.jpg),Ken Loach,7.48,5,Sixteen Films,55648996,"I, Daniel Blake",7.9
![](https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Alan_Parker_%28Director%29%2C_London%2C_2012.jpg/220px-Alan_Parker_%28Director%29%2C_London%2C_2012.jpg),Alan Parker,7.1,7,Beacon Communications,54317263,Mississippi Burning,7.8
![](https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Stanley_tong_kwai_lai.jpg/220px-Stanley_tong_kwai_lai.jpg),Stanley Tong,6.075,4,Golden Harvest Company,53590684,Supercop,6.9
![](NA),Billy Ray,6.8,3,IM Global,53253677,Shattered Glass,7.1
![](https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/DK_2022_photo_2.jpg/220px-DK_2022_photo_2.jpg),David Koepp,6.44,5,Artisan Entertainment,52505560,Stir of Echoes,7
![](https://upload.wikimedia.org/wikipedia/commons/thumb/f/f4/Derek_Cianfrance.jpg/220px-Derek_Cianfrance.jpg),Derek Cianfrance,7.266666666666667,3,Heyday Films,52468853,Blue Valentine,7.3
![](NA),Iain Softley,6.66,5,IMF Internationale Medien und Film GmbH & Co. 2. Produktions KG,52045152,K-PAX,7.4
![](NA),Jonathan Kaplan,6.3,4,Fox 2000 Pictures,51572485,The Accused,7.2
![](https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Asghar_Farhadi_in_2018-2_%28cropped%29.jpg/220px-Asghar_Farhadi_in_2018-2_%28cropped%29.jpg),Asghar Farhadi,7.74,5,Memento Films Production,51108727,A Separation,8.3
![](https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Prachya_Pinkaew_20070116.jpg/220px-Prachya_Pinkaew_20070116.jpg),Prachya Pinkaew,7.1,3,EuropaCorp,50580021,Ong-Bak: The Thai Warrior,7.2
![](NA),Jee-woon Kim,7.133333333333333,3,Barunson E&A,50558323,I Saw the Devil,7.8
![](https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Kimberly_Peirce_on_The_MacGuffin.jpg/220px-Kimberly_Peirce_on_The_MacGuffin.jpg),Kimberly Peirce,6.6000000000000005,3,Fox Searchlight Pictures,50544238,Boys Don't Cry,7.5
![](https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Lars_von_Trier_2014_%28cropped%29.jpg/220px-Lars_von_Trier_2014_%28cropped%29.jpg),Lars von Trier,7.245454545454545,11,Zentropa Entertainments,50388756,Dancer in the Dark,8
![](NA),Jeremiah S. Chechik,6,4,Warner Bros.,50341431,National Lampoon's Christmas Vacation,7.6
![](https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Spike_Jonze_Her_Premiere_NYFF_2013_%28cropped%29.jpg/220px-Spike_Jonze_Her_Premiere_NYFF_2013_%28cropped%29.jpg),Spike Jonze,7.525,4,Annapurna Pictures,49566183,Her,8
![](https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Neil_Marshall_2006.JPG/220px-Neil_Marshall_2006.JPG),Neil Marshall,6.15,4,Celador Films,49558379,The Descent,7.2
![](https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Luis_Mandoki.png/220px-Luis_Mandoki.png),Luis Mandoki,6.15,4,Columbia Pictures,49031997,When a Man Loves a Woman,6.6
![](NA),Randal Kleiser,6.166666666666667,3,Walt Disney Pictures,49020225,Flight of the Navigator,6.9
![](NA),Irwin Winkler,6.466666666666667,3,Columbia Pictures,47896889,Life as a House,7.5
![](NA),Richard Loncraine,6.5,3,Mayfair Entertainment International,46181944,Richard III,7.4
![](NA),Mark L. Lester,6.166666666666667,3,Columbia Pictures,45712091,Commando,6.7
![](https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Marielle_Heller_-_Maryland_Film_Festival_-_2016_%2830354425543%29_%28cropped%29.jpg/220px-Marielle_Heller_-_Maryland_Film_Festival_-_2016_%2830354425543%29_%28cropped%29.jpg),Marielle Heller,7.1,3,Archer Gray,44978171,A Beautiful Day in the Neighborhood,7.3
![](NA),Stephen Hopkins,6.2875,8,Constellation Entertainment,44731387,Race,7.1
![](https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Jane_Campion_DNZM_%28cropped%29.jpg/220px-Jane_Campion_DNZM_%28cropped%29.jpg),Jane Campion,6.65,4,CiBy 2000,44518589,The Piano,7.6
![](https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Gina_Prince-Bythewood_by_Gage_Skidmore_%28cropped%29.jpg/220px-Gina_Prince-Bythewood_by_Gage_Skidmore_%28cropped%29.jpg),Gina Prince-Bythewood,7.133333333333334,3,40 Acres & A Mule Filmworks,44299282,The Secret Life of Bees,7.3
![](NA),Steve Pink,5.966666666666667,3,Metro-Goldwyn-Mayer (MGM),43485126,Accepted,6.4
![](https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Thomas_Vinterberg_Berlinale_2010_%28cropped%29.jpg/220px-Thomas_Vinterberg_Berlinale_2010_%28cropped%29.jpg),Thomas Vinterberg,7.833333333333333,3,Danmarks Radio (DR),42631029,The Hunt,8.3
![](https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/BillBarrettaBrianHenson1982.jpg/220px-BillBarrettaBrianHenson1982.jpg),Brian Henson,6.7,3,Walt Disney Pictures,42408225,The Muppet Christmas Carol,7.7
![](NA),Brad Anderson,6.48,5,Filmax Group,41485731,The Machinist,7.7
![](https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Tom_Brady_2021.png/220px-Tom_Brady_2021.png),Tom Brady,4.333333333333333,3,Columbia Pictures,40709101,The Hot Chick,5.5
![](NA),Greg McLean,6.166666666666667,3,Australian Film Finance Corporation (AFFC),40611352,Wolf Creek,6.2
![](https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Takeshi_Kitano_2017.jpg/220px-Takeshi_Kitano_2017.jpg),Takeshi Kitano,7.4799999999999995,5,Bandai Visual Company,40408775,Fireworks,7.8
![](https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Julian_Schnabel_%28Hamptons_International_Film_Festival_2010%29.jpg/220px-Julian_Schnabel_%28Hamptons_International_Film_Festival_2010%29.jpg),Julian Schnabel,7.25,4,CBS Films,39566002,The Diving Bell and the Butterfly,8
![](https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Craig_Gillespie_%28cropped%29.jpg/220px-Craig_Gillespie_%28cropped%29.jpg),Craig Gillespie,7,5,Walt Disney Pictures,38818112,"I, Tonya",7.5
![](https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Michael_Haneke_2009.jpg/220px-Michael_Haneke_2009.jpg),Michael Haneke,7.383333333333333,6,Les Films du Losange,38082130,Amour,7.9
![](NA),David Mackenzie,6.86,5,BBC Films,38036100,Hell or High Water,7.6
![](https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Mike_Leigh.jpg/220px-Mike_Leigh.jpg),Mike Leigh,7.56,5,Channel Four Films,37859616,Secrets & Lies,8
![](https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Peter_Bogdanovich%2C_director.jpg/220px-Peter_Bogdanovich%2C_director.jpg),Peter Bogdanovich,6.933333333333334,3,Lagniappe Films,36545161,Noises Off...,7.5
